id,name,psmiles,source,description,Tg,Tm,elastic_modulus,molecular_weight
polysilaethy,Polysilaethy,CC,pdf_datasheet,Polymer extracted from datasheet: polysilaethy,,,1.0,
polyetherimide,Polyetherimide,CC,pdf_datasheet,Polymer extracted from datasheet: polyetherimide,,,60.0,
polymergeneral,Polymergeneral,CC,pdf_datasheet,Polymer extracted from datasheet: polymerGeneral,,,60.0,
polycarbosilane,Polycarbosilane,CC,pdf_datasheet,Polymer extracted from datasheet: polycarbosilane,,,1.0,
polystyrenewill,Polystyrenewill,CC,pdf_datasheet,Polymer extracted from datasheet: polystyrenewill,,,1.0,
polystyrenepolyvinyls,Polystyrenepolyvinyls,CC,pdf_datasheet,Polymer extracted from datasheet: polystyrenepolyvinyls,,,130196.0,
polybutadienepolystyrene,Polybutadienepolystyrene,CC,pdf_datasheet,Polymer extracted from datasheet: polybutadienepolystyrene,,,143106.0,
polystyrenepolymer,Polystyrenepolymer,CC,pdf_datasheet,Polymer extracted from datasheet: polystyrenepolymer,,,0.1,
polymer105390,Polymer105390,CC,pdf_datasheet,Polymer extracted from datasheet: polymer105390,,,25189.0,
polysulfonecompounds,Polysulfonecompounds,CC,pdf_datasheet,Polymer extracted from datasheet: polysulfonecompounds,,,149.0,
polysulfonecas,Polysulfonecas,CC,pdf_datasheet,Polymer extracted from datasheet: polysulfoneCAS,,,25135.0,
polymersmelt,Polymersmelt,CC,pdf_datasheet,Polymer extracted from datasheet: polymersMelt,,,1.0,
polybutilate,Polybutilate,CC,pdf_datasheet,Polymer extracted from datasheet: Polybutilate,,,25103.0,
polyalkanediol,Polyalkanediol,CC,pdf_datasheet,Polymer extracted from datasheet: polyalkanediol,,,1.0,
polyurethanesare,Polyurethanesare,CC,pdf_datasheet,Polymer extracted from datasheet: polyurethanesare,,,1.0,
polyisocyanates,Polyisocyanates,CC,pdf_datasheet,Polymer extracted from datasheet: Polyisocyanates,,,4.0,
polyvanillylidenecycloalkanone,Polyvanillylidenecycloalkanone,CC,pdf_datasheet,Polymer extracted from datasheet: Polyvanillylidenecycloalkanone,,,1.0,
polyhydric,Polyhydric,CC,pdf_datasheet,Polymer extracted from datasheet: polyhydric,,,2.0,
polyenes,Polyenes,CC,pdf_datasheet,Polymer extracted from datasheet: polyenes,,,2.0,
polyethy,Polyethy,CC,pdf_datasheet,Polymer extracted from datasheet: polyethy,,,2.0,170000.0
polyhaloolefinspoly,Polyhaloolefinspoly,CC,pdf_datasheet,Polymer extracted from datasheet: polyhaloolefinsPoly,,,,109000.0
polymerisationtemp,Polymerisationtemp,CC,pdf_datasheet,Polymer extracted from datasheet: polymerisationtemp,,,16.0,
polymerisableplasticiser,Polymerisableplasticiser,CC,pdf_datasheet,Polymer extracted from datasheet: polymerisableplasticiser,,,1.0,
polyvalent,Polyvalent,CC,pdf_datasheet,Polymer extracted from datasheet: polyvalent,,,1.0,
polymersmonomers,Polymersmonomers,CC,pdf_datasheet,Polymer extracted from datasheet: polymersMonomers,,,37331.0,200000.0
polyconjugateddouble,Polyconjugateddouble,CC,pdf_datasheet,Polymer extracted from datasheet: polyconjugateddouble,,,150.0,
polyvinylspolyhaloolefins,Polyvinylspolyhaloolefins,CC,pdf_datasheet,Polymer extracted from datasheet: polyvinylspolyhaloolefins,,,39423.0,
polycarboxylate,Polycarboxylate,CC,pdf_datasheet,Polymer extracted from datasheet: polycarboxylate,,,1.0,
polycarboxylated,Polycarboxylated,CC,pdf_datasheet,Polymer extracted from datasheet: polycarboxylated,,,1.0,
polyhaloolefins,Polyhaloolefins,CC,pdf_datasheet,Polymer extracted from datasheet: polyhaloolefins,,,9.0,15000.0
polymerspolyha,Polymerspolyha,CC,pdf_datasheet,Polymer extracted from datasheet: polymerspolyha,,,41618.0,
polydispersity,Polydispersity,CC,pdf_datasheet,Polymer extracted from datasheet: polydispersity,,,1.0,
polyvinylidene,Polyvinylidene,CC,pdf_datasheet,Polymer extracted from datasheet: polyvinylidene,,,9011.0,200000.0
polyethoxyethene,Polyethoxyethene,CC,pdf_datasheet,Polymer extracted from datasheet: polyethoxyethene,,,25104.0,
polyethoxyethylene,Polyethoxyethylene,CC,pdf_datasheet,Polymer extracted from datasheet: polyethoxyethylene,,,25104.0,
polyvinylpropionate,Polyvinylpropionate,CC,pdf_datasheet,Polymer extracted from datasheet: polyvinylpropionate,,,2.0,
polyvinylbu,Polyvinylbu,CC,pdf_datasheet,Polymer extracted from datasheet: polyvinylbu,,,2.0,
polyethenylpyridine25014,Polyethenylpyridine25014,CC,pdf_datasheet,Polymer extracted from datasheet: Polyethenylpyridine25014,,,9003.0,
polymer53633,Polymer53633,CC,pdf_datasheet,Polymer extracted from datasheet: polymer53633,,,30581.0,
polyvidone,Polyvidone,CC,pdf_datasheet,Polymer extracted from datasheet: Polyvidone,,,9003.0,
polymeris,Polymeris,CC,pdf_datasheet,Polymer extracted from datasheet: polymeris,,,1.0,
polyte,Polyte,CC,pdf_datasheet,Polymer extracted from datasheet: Polyte,,,,400000.0
polyhaloole,Polyhaloole,CC,pdf_datasheet,Polymer extracted from datasheet: polyhaloole,,,25085.0,250000.0
polymerisationinvolves,Polymerisationinvolves,CC,pdf_datasheet,Polymer extracted from datasheet: polymerisationinvolves,,,1.0,
polymerhu,Polymerhu,CC,pdf_datasheet,Polymer extracted from datasheet: polymerHu,,,216.0,
polymerdispersion,Polymerdispersion,CC,pdf_datasheet,Polymer extracted from datasheet: polymerdispersion,,,35.0,
polymersthermocomp,Polymersthermocomp,CC,pdf_datasheet,Polymer extracted from datasheet: PolymersThermocomp,,,1.0,
polymerssan,Polymerssan,CC,pdf_datasheet,Polymer extracted from datasheet: polymersSAN,,,1.0,
polymersrelated,Polymersrelated,CC,pdf_datasheet,Polymer extracted from datasheet: polymersRelated,,,25038.0,
polybutadienepolystyrenesilly,Polybutadienepolystyrenesilly,CC,pdf_datasheet,Polymer extracted from datasheet: polybutadienepolystyreneSilly,,,25038.0,
polybutadieneand,Polybutadieneand,CC,pdf_datasheet,Polymer extracted from datasheet: polybutadieneand,,,9003.0,
polystyreneand,Polystyreneand,CC,pdf_datasheet,Polymer extracted from datasheet: polystyreneand,,,9003.0,
polymerterminating,Polymerterminating,CC,pdf_datasheet,Polymer extracted from datasheet: polymerterminating,,,,130.0
polydienespolybutadienepolystyrenes,Polydienespolybutadienepolystyrenes,CC,pdf_datasheet,Polymer extracted from datasheet: polydienespolybutadienepolystyrenes,,,25038.0,
polymer107391,Polymer107391,CC,pdf_datasheet,Polymer extracted from datasheet: polymer107391,,,25213.0,
polymer27136,Polymer27136,CC,pdf_datasheet,Polymer extracted from datasheet: polymer27136,,,25213.0,
polyimidisation,Polyimidisation,CC,pdf_datasheet,Polymer extracted from datasheet: polyimidisation,,,1.0,
polyimides,Polyimides,CC,pdf_datasheet,Polymer extracted from datasheet: Polyimides,,,5.0,
polyethylenestability,Polyethylenestability,CC,pdf_datasheet,Polymer extracted from datasheet: polyethyleneStability,,,,2000000.0
polyblend,Polyblend,CC,pdf_datasheet,Polymer extracted from datasheet: Polyblend,,,2.0,
polychlorotrifluoroethene,Polychlorotrifluoroethene,CC,pdf_datasheet,Polymer extracted from datasheet: Polychlorotrifluoroethene,,,4.0,
polydimethylsilicone,Polydimethylsilicone,CC,pdf_datasheet,Polymer extracted from datasheet: Polydimethylsilicone,,,2.0,
polydiphenyldimethylsiloxane,Polydiphenyldimethylsiloxane,CC,pdf_datasheet,Polymer extracted from datasheet: Polydiphenyldimethylsiloxane,,,4.0,
polystyrenes,Polystyrenes,CC,pdf_datasheet,Polymer extracted from datasheet: polystyrenes,,,1.0,
polymethylhydrogen,Polymethylhydrogen,CC,pdf_datasheet,Polymer extracted from datasheet: Polymethylhydrogen,,,2.0,
polymethylhydrogensiloxane,Polymethylhydrogensiloxane,CC,pdf_datasheet,Polymer extracted from datasheet: polymethylhydrogensiloxane,,,1105.0,
poly3940_8qc4,Poly3940_8Qc4,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_8QC4,,,9.0,
poly3940_952d,Poly3940_952D,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_952d,,,9.0,
poly3940_11e9,Poly3940_11E9,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_11e9,,,9.0,
poly3940_55e8,Poly3940_55E8,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_55e8,,,8.0,
poly3940_24p8,Poly3940_24P8,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_24p8,,,5.0,
poly3940_85u5,Poly3940_85U5,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_85U5,,,5.0,
poly3940_0fe5,Poly3940_0Fe5,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_0FE5,,,5.0,
poly3940_vj33,Poly3940_Vj33,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_vj33,,,7.0,
poly3940_6673,Poly3940_6673,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_6673,,,7.0,
poly3940_l5e7,Poly3940_L5E7,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_L5E7,,,7.0,
poly3940_0998,Poly3940_0998,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_0998,,,75.0,
poly3940_0q54,Poly3940_0Q54,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_0q54,,,75.0,
poly3940_6e75,Poly3940_6E75,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_6e75,,,75.0,
poly3940_1m84,Poly3940_1M84,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_1m84,,,3.0,
poly3940_6091,Poly3940_6091,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_6091,,,3.0,
poly3940_03e3,Poly3940_03E3,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_03e3,,,3.0,
poly3940_4p92,Poly3940_4P92,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_4p92,,,3.0,
poly3940_8i50,Poly3940_8I50,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_8i50,,,3.0,
poly3940_41e3,Poly3940_41E3,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_41E3,,,3.0,
poly3940_6332,Poly3940_6332,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_6332,,,7.0,
poly3940_32v8,Poly3940_32V8,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_32v8,,,7.0,
poly3940_86e7,Poly3940_86E7,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_86E7,,,7.0,
poly3940_2q3g,Poly3940_2Q3G,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_2q3g,,,6.0,
poly3940_r611,Poly3940_R611,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_R611,,,6.0,
poly3940_6e6m,Poly3940_6E6M,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_6e6M,,,6.0,
poly3940_3i18,Poly3940_3I18,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_3i18,,,309.0,
poly3940_y8am,Poly3940_Y8Am,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_y8AM,,,309.0,
poly3940_e309,Poly3940_E309,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_E309,,,309.0,
poly3940_u86f,Poly3940_U86F,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_U86f,,,4.0,
poly3940_2t35,Poly3940_2T35,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_2t35,,,4.0,
poly3940_h7e4,Poly3940_H7E4,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_H7e4,,,4.0,
poly3940_l931,Poly3940_L931,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_l931,,,76.0,
poly3940_9297,Poly3940_9297,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_9297,,,76.0,
poly3940_7e76,Poly3940_7E76,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_7e76,,,76.0,
poly3940_8k33,Poly3940_8K33,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_8K33,,,1.0,
poly3940_8584,Poly3940_8584,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_8584,,,1.0,
poly3940_8e1d,Poly3940_8E1D,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_8e1d,,,1.0,
poly3940_772g,Poly3940_772G,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_772G,,,364.0,
poly3940_19t0,Poly3940_19T0,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_19T0,,,364.0,
poly3940_e364,Poly3940_E364,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_E364,,,364.0,
poly3940_37j7,Poly3940_37J7,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_37j7,,,8.0,
poly3940_s369,Poly3940_S369,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_S369,,,8.0,
poly3940_ye8z,Poly3940_Ye8Z,CC,pdf_datasheet,Polymer extracted from datasheet: Poly3940_yE8Z,,,8.0,
